"CNA","ENA","NAM","NCA","NEN","NWN","SCA","WNA"
"ACCESS-ESM1-5","EC-Earth3","CNRM-ESM2-1","MRI-ESM2-0","CNRM-ESM2-1","CNRM-ESM2-1","GISS-E2-1-G","MRI-ESM2-0"
"UKESM1-0-LL","UKESM1-0-LL","UKESM1-0-LL","UKESM1-0-LL","UKESM1-0-LL","UKESM1-0-LL","UKESM1-0-LL","UKESM1-0-LL"
"CNRM-ESM2-1","GFDL-ESM4","GFDL-ESM4","GFDL-ESM4","EC-Earth3","EC-Earth3","ACCESS-ESM1-5","MPI-ESM1-2-HR"
"GFDL-ESM4","MRI-ESM2-0","EC-Earth3","EC-Earth3","MPI-ESM1-2-HR","MPI-ESM1-2-HR","MIROC6","GISS-E2-1-G"
"MIROC6","MIROC6","MRI-ESM2-0","MIROC6","MRI-ESM2-0","ACCESS-ESM1-5","EC-Earth3","EC-Earth3"
"EC-Earth3","GISS-E2-1-G","GISS-E2-1-G","CNRM-ESM2-1","ACCESS-ESM1-5","GISS-E2-1-G","GFDL-ESM4","CNRM-ESM2-1"
"GISS-E2-1-G","MPI-ESM1-2-HR","MIROC6","MPI-ESM1-2-HR","GISS-E2-1-G","MRI-ESM2-0","MPI-ESM1-2-HR","MIROC6"
"MPI-ESM1-2-HR","ACCESS-ESM1-5","ACCESS-ESM1-5","ACCESS-ESM1-5","GFDL-ESM4","MIROC6","CNRM-ESM2-1","GFDL-ESM4"
"MRI-ESM2-0","CNRM-ESM2-1","MPI-ESM1-2-HR","GISS-E2-1-G","MIROC6","GFDL-ESM4","MRI-ESM2-0","ACCESS-ESM1-5"
"IPSL-CM6A-LR","IPSL-CM6A-LR","IPSL-CM6A-LR","IPSL-CM6A-LR","IPSL-CM6A-LR","IPSL-CM6A-LR","IPSL-CM6A-LR","IPSL-CM6A-LR"
"BCC-CSM2-MR","BCC-CSM2-MR","BCC-CSM2-MR","BCC-CSM2-MR","BCC-CSM2-MR","BCC-CSM2-MR","BCC-CSM2-MR","BCC-CSM2-MR"
"INM-CM5-0","INM-CM5-0","INM-CM5-0","INM-CM5-0","INM-CM5-0","INM-CM5-0","INM-CM5-0","INM-CM5-0"
"CanESM5","CanESM5","CanESM5","CanESM5","CanESM5","CanESM5","CanESM5","CanESM5"
