"scenario","Year","ACCESS.ESM1.5","BCC.CSM2.MR","CanESM5","CNRM.ESM2.1","EC.Earth3","GFDL.ESM4","GISS.E2.1.G","INM.CM5.0","IPSL.CM6A.LR","MIROC6","MPI.ESM1.2.HR","MRI.ESM2.0","UKESM1.0.LL","ensemble"
"historical",1850,45.5,38.9,24.9,28.9,NA,76,68.1,41.8,71.6,58.4,53.9,50.8,40.2,24.9
"historical",1851,37.2,73.1,41.1,37.3,48.7,54.9,73.4,69.8,82.1,44,30.3,51.4,38.7,30.3
"historical",1852,50.5,93.1,40.5,75.9,36.9,50.4,75.4,41.5,55,37.1,35.2,101.4,33,33
"historical",1853,43.6,60.8,23.7,55.4,43.8,25.3,41.6,57.7,70.2,38.1,30.3,53.9,43.3,23.7
"historical",1854,50.4,96.7,19.9,81.3,54.5,81.9,82.3,76.8,64.9,66.9,36.2,62.6,28.6,19.9
"historical",1855,29.4,66.7,26.8,44.3,42.4,60.3,65.2,68.5,83,58.1,38.1,59.9,33.6,26.8
"historical",1856,55.8,42.9,44,35,30.8,38.7,67.6,52.4,49.5,47.9,42.3,43.3,27.9,27.9
"historical",1857,34.3,70.6,37.6,58.5,47.6,74.2,53.2,57.9,51.3,55.2,50.2,87.3,23.7,23.7
"historical",1858,26.8,63.5,30.8,100.9,44.5,64,85.3,55.6,65.1,54,40.7,61.1,24.5,24.5
"historical",1859,31.7,75.7,34,62.6,38.5,61.7,41.8,71.3,69.4,45.9,28,45.9,26.1,26.1
"historical",1860,33.6,80.1,20.4,54.9,20.3,68,73.4,53,40.8,47.2,21,62.7,18.1,18.1
"historical",1861,40.2,56.4,35.3,36.3,60,83.5,49.3,60.6,60.6,22.7,28.8,83.8,45.5,22.7
"historical",1862,34.8,27.9,35,39.5,49.5,51.6,66.8,55.1,66.3,41.2,37.8,57.8,44.4,27.9
"historical",1863,25.7,69.5,22.8,42,36.8,56.1,48.2,44.1,51.2,48.5,81.1,37.7,39.6,22.8
"historical",1864,56,51.1,33.7,27.4,37,66.4,62.7,56.7,68.2,45.7,53.5,53.5,33.4,27.4
"historical",1865,54.4,35.6,34,61.2,39.3,45.9,85.8,62,72.9,43.5,56.4,58.9,42.8,34
"historical",1866,36.7,50.9,30.5,77.5,42.3,56.7,48.9,86.3,72.6,62.3,67,61.4,40.7,30.5
"historical",1867,52.3,55.2,41.4,61,30.1,66.2,74.7,61.1,38.6,64,18.4,37.7,29.9,18.4
"historical",1868,39.2,65.2,42.9,63.2,24.4,75.9,71.7,93,37.9,43.2,32,29.9,37.6,24.4
"historical",1869,53.6,62.5,24.3,64.2,47.5,54.1,77.8,66.4,36.4,53.6,59.3,74.3,52.9,24.3
"historical",1870,35.2,32.4,38,38,39,82.9,57.5,50.8,69.5,57.4,37.9,79.6,44.6,32.4
"historical",1871,43.4,44.9,42.2,72.7,26,83.8,59.4,79.3,41.1,59.6,80.8,40.1,37.7,26
"historical",1872,45.6,83.6,40.5,38.6,38.3,22,83.9,49.9,48.1,34.3,28.8,63.8,28.5,22
"historical",1873,36.7,63.5,32.9,40.2,33.8,60.5,46.5,49.8,43,35.7,37.6,44.4,48,32.9
"historical",1874,46.9,67.5,37.7,51.6,25.8,79.1,47.5,52.4,56.2,38.9,36,61.6,33.6,25.8
"historical",1875,47.2,68.7,37.9,58.7,27.8,44.1,66.1,39.9,52.8,55.7,21.8,100,29.7,21.8
"historical",1876,52,54.5,21.5,72.7,68.4,80.5,54.9,60.4,61.5,37.1,45.9,63.6,35.7,21.5
"historical",1877,38.8,70.4,46.5,34.6,64.7,67.4,89,37.2,58.8,48.7,21.1,43.4,40.5,21.1
"historical",1878,43.8,47.8,27.1,93.2,40.2,81.2,46.9,56.2,53.2,57.3,46,102.8,31.1,27.1
"historical",1879,37.5,61.8,42.4,34.6,21.7,81.8,65.9,77.1,58,36.9,40.8,57.3,27.2,21.7
"historical",1880,54.6,89.6,31.1,55.1,56,61.9,59.9,77.9,45,45.4,56,63.2,36.5,31.1
"historical",1881,25.7,90.1,30.5,54.4,25,66.7,51.1,43,66.2,60.9,43.9,59.1,49.8,25
"historical",1882,48.5,51.2,43.5,65.7,51,72.8,61,38.4,58,38.8,30.3,56.4,39.6,30.3
"historical",1883,23.4,59.1,35.8,61.1,44.6,58.4,53.9,75.7,23.2,36.9,60.1,88.6,23.1,23.1
