"gcm","scenario","proj.year","Tmax01","Tmax02","Tmax03","Tmax04","Tmax05","Tmax06","Tmax07","Tmax08","Tmax09","Tmax10","Tmax11","Tmax12","Tmin01","Tmin02","Tmin03","Tmin04","Tmin05","Tmin06","Tmin07","Tmin08","Tmin09","Tmin10","Tmin11","Tmin12","PPT01","PPT02","PPT03","PPT04","PPT05","PPT06","PPT07","PPT08","PPT09","PPT10","PPT11","PPT12","Tave01","Tave02","Tave03","Tave04","Tave05","Tave06","Tave07","Tave08","Tave09","Tave10","Tave11","Tave12","Tmax_wt","Tmax_sp","Tmax_sm","Tmax_at","Tmin_wt","Tmin_sp","Tmin_sm","Tmin_at","PPT_wt","PPT_sp","PPT_sm","PPT_at","Tave_wt","Tave_sp","Tave_sm","Tave_at"
"INM-CM5-0","ssp245",2001,0.360333333333333,0.264666666666667,0.270999999999997,0.126333333333335,0.252333333333336,0.230333333333334,0.637999999999998,0.333666666666666,0.353999999999999,0.112000000000002,0.0263333333333335,0.247,0.422999999999998,0.406666666666666,0.384333333333334,0.301333333333336,0.293999999999997,0.299333333333337,0.402000000000001,0.344666666666665,0.337,0.25,0.272666666666666,0.321666666666669,0.0112310146393604,0.0539088929365965,0.0329091443581069,0.0692748473099893,0.00181132547649376,-0.0377773592908248,-0.188534077250256,0.0414751134615114,-0.00688537432759784,0.0750397390835795,0.0361502106046796,-0.0312010605319104,0.393333333333334,0.333000000000002,0.331,0.209333333333333,0.267999999999997,0.264666666666667,0.525333333333336,0.336666666666666,0.345333333333333,0.190999999999999,0.154666666666667,0.279666666666667,0.292333333333335,0.215,0.404,0.171666666666667,0.366666666666667,0.329666666666665,0.350333333333335,0.290333333333333,0.00168318070092344,0.026556228193809,-0.0501589575981143,0.039135809457731,0.322333333333333,0.264000000000003,0.384,0.226333333333336
"INM-CM5-0","ssp245",2021,0.757333333333335,0.624666666666666,0.651999999999997,0.859333333333332,0.339333333333332,1.13733333333333,1.18,1.10866666666666,0.902999999999999,0.478000000000002,0.258333333333333,0.594000000000001,0.919,0.710666666666665,0.693333333333332,0.967333333333332,0.700999999999997,0.850333333333335,0.959,0.912666666666667,0.837,0.689,0.463666666666665,0.644666666666669,0.0387784790636641,0.0403144927878527,-0.086077482048081,-0.0608926017807097,0.134547412488033,-0.109332319112074,-0.143721248740833,-0.130610940136928,-0.106725776276469,0.0836144161070669,0.0611394451647271,-0.121334379623628,0.844333333333331,0.673000000000002,0.672000000000001,0.904333333333334,0.509,0.991666666666667,1.08433333333333,1.00066666666667,0.872333333333334,0.577999999999999,0.360666666666667,0.619666666666667,0.650333333333332,0.635999999999996,1.149,0.555666666666667,0.734666666666666,0.787666666666667,0.906333333333333,0.669333333333334,-0.0101008928606134,0.0389091547949283,-0.125312761179305,0.0206516215861861,0.695333333333334,0.696000000000002,1.027,0.605333333333334
"INM-CM5-0","ssp245",2041,1.16433333333334,1.38166666666667,1.623,1.45933333333333,1.01033333333333,1.69833333333334,2.025,1.58866666666667,1.125,0.782,0.848333333333333,1.158,1.074,1.36766666666666,1.69933333333333,1.58533333333333,1.181,1.36833333333334,1.579,1.46666666666667,1.168,1.057,1.05466666666667,1.38066666666667,0.0184307054071873,-0.102840376552074,-0.106130784124385,-0.107731655805289,-0.0559888567392912,-0.168182123238388,-0.249716261948275,-0.0359399399760285,-0.00193563661586005,0.13217267992615,0.0163952191354237,0.0346775442680611,1.13333333333333,1.366,1.651,1.52333333333333,1.102,1.53766666666667,1.79733333333333,1.52366666666667,1.13733333333333,0.922999999999998,0.957666666666668,1.27666666666667,1.24933333333333,1.372,1.77,0.912666666666667,1.27366666666667,1.48666666666666,1.46533333333333,1.10033333333333,-0.0223931618015358,-0.0801556259563503,-0.145417262136926,0.0595948041646022,1.25833333333333,1.419,1.627,0.993333333333336
"INM-CM5-0","ssp245",2061,1.19933333333333,1.22166666666667,1.848,1.54433333333333,1.03533333333334,1.24833333333333,2.205,2.05366666666666,1.51,1.152,0.853333333333332,0.733000000000001,1.579,1.28266666666667,1.72433333333333,1.50533333333333,1.371,1.40333333333334,1.719,1.77666666666667,1.458,1.482,1.35966666666667,1.30066666666667,0.0620520350083664,-0.077642008694542,-0.108829015880854,-0.0673881686476285,0.118694039438957,0.0316220673741796,-0.258327619446262,-0.187455232488039,-0.0101021179259355,0.19100160862283,0.208261913994036,0.130199550731341,1.37833333333333,1.246,1.796,1.52333333333333,1.192,1.32266666666667,1.95733333333333,1.90366666666667,1.47233333333333,1.323,1.10766666666667,1.02166666666667,1.04933333333333,1.482,1.84,1.17766666666667,1.38366666666667,1.54166666666667,1.62533333333333,1.43033333333333,0.0331504413997568,0.0243023995173575,-0.110798962065477,0.136556519111025,1.21833333333333,1.499,1.742,1.29833333333334
"INM-CM5-0","ssp245",2081,1.20433333333333,1.63166666666667,1.828,1.77433333333333,0.990333333333336,2.06333333333333,2.225,1.69366666666667,1.865,1.547,1.51333333333333,1.513,1.574,1.67266666666666,2.01933333333333,2.16033333333333,1.376,1.93333333333334,2.089,1.85666666666667,1.718,1.647,1.62966666666667,1.93566666666667,0.225368264223919,-0.0331726968829198,0.0274240291768466,0.254218398482466,0.139700708566757,-0.007101663046992,-0.111351732907703,0.101359112601106,-0.0922091381107188,0.066812438153776,0.0304475546589069,0.0863734746524694,1.38833333333333,1.646,1.921,1.95333333333333,1.172,1.99266666666667,2.14733333333334,1.77866666666667,1.79733333333333,1.598,1.55266666666667,1.71666666666667,1.44433333333333,1.527,2.005,1.63266666666667,1.70866666666667,1.84666666666666,1.95533333333334,1.66533333333333,0.122989748698443,0.146830878569149,0.00186087366897159,0.00877643957135277,1.57333333333333,1.694,1.982,1.64333333333333
"INM-CM5-0","ssp370",2001,0.360333333333333,0.264666666666667,0.270999999999997,0.126333333333335,0.252333333333336,0.230333333333334,0.637999999999998,0.333666666666666,0.353999999999999,0.112000000000002,0.0263333333333335,0.247,0.422999999999998,0.406666666666666,0.384333333333334,0.301333333333336,0.293999999999997,0.299333333333337,0.402000000000001,0.344666666666665,0.337,0.25,0.272666666666666,0.321666666666669,0.0112310146393604,0.0539088929365965,0.0329091443581069,0.0692748473099893,0.00181132547649376,-0.0377773592908248,-0.188534077250256,0.0414751134615114,-0.00688537432759784,0.0750397390835795,0.0361502106046796,-0.0312010605319104,0.393333333333334,0.333000000000002,0.331,0.209333333333333,0.267999999999997,0.264666666666667,0.525333333333336,0.336666666666666,0.345333333333333,0.190999999999999,0.154666666666667,0.279666666666667,0.292333333333335,0.215,0.404,0.171666666666667,0.366666666666667,0.329666666666665,0.350333333333335,0.290333333333333,0.00168318070092344,0.026556228193809,-0.0501589575981143,0.039135809457731,0.322333333333333,0.264000000000003,0.384,0.226333333333336
"INM-CM5-0","ssp370",2021,0.927333333333333,0.924666666666667,1.102,0.93933333333333,0.454333333333334,1.47233333333333,1.385,1.35866666666666,1.228,0.798000000000002,0.698333333333334,0.728999999999999,0.893999999999998,0.910666666666668,1.01333333333333,1.04233333333334,0.600999999999999,0.885333333333335,1.009,1.00766666666667,0.911999999999999,0.629000000000001,0.823666666666664,0.634666666666668,-0.0485501211516297,-0.0352594884046491,-0.144020869266893,-0.0306081354530106,0.0515403773081475,-0.348705609415527,-0.173319594239773,-0.222566534120046,-0.242083225435194,-0.075381132033268,0.0241635899934174,-0.0628054187894342,0.924333333333333,0.923000000000002,1.042,0.984333333333332,0.533999999999999,1.18166666666667,1.20433333333333,1.17566666666667,1.06233333333333,0.722999999999999,0.775666666666666,0.689666666666668,0.835333333333335,0.841000000000001,1.404,0.905666666666665,0.764666666666667,0.882666666666665,0.966333333333335,0.794333333333334,-0.0455717039117394,-0.0106175456041484,-0.259102429464751,-0.0956312094483867,0.810333333333336,0.856000000000002,1.187,0.835333333333335
"INM-CM5-0","ssp370",2041,1.12933333333334,1.24666666666667,1.213,0.614333333333327,0.585333333333335,1.41833333333334,1.98,1.61866666666667,1.35,0.872,0.973333333333333,0.888000000000002,1.539,1.28266666666666,1.49933333333333,1.12533333333333,1.101,1.36333333333334,1.729,1.67666666666667,1.393,1.132,1.17466666666667,1.30066666666667,0.104844065410853,-0.0216694196659502,0.116016551839709,0.211631941358865,0.223094260920852,-0.124774628824848,-0.0862862592624367,-0.0190113289665588,0.0124162399234606,0.133980986115128,-0.0337374626628746,0.16640798673808,1.31833333333333,1.256,1.361,0.868333333333332,0.837,1.40766666666667,1.86733333333333,1.63366666666667,1.38233333333333,1.018,1.07266666666667,1.09166666666667,1.09933333333333,0.802,1.675,1.07766666666667,1.38866666666667,1.24666666666667,1.58533333333333,1.24033333333333,0.0865155090677181,0.197242597955164,-0.0798881183198841,0.051248415363478,1.25333333333333,1.034,1.627,1.14833333333333
"INM-CM5-0","ssp370",2061,1.37433333333333,2.09166666666667,2.018,1.85433333333333,1.74533333333334,2.14333333333334,2.87,2.06866666666667,1.49,1.417,1.22333333333333,1.503,1.794,2.05266666666667,2.22433333333333,2.26533333333333,2.006,2.00333333333333,2.369,2.16166666666667,1.828,1.712,1.67466666666667,2.01066666666667,0.0873772611515928,-0.249429273259625,-0.0847246986816605,0.0167140074270531,-0.00755037935822056,-0.103900742831438,-0.335718052428224,0.0847098098431802,0.142421409506537,0.0811894363415808,0.122268867774241,0.0713227898503161,1.57833333333333,2.076,2.111,2.04833333333333,1.877,2.07266666666667,2.62233333333333,2.12866666666667,1.66233333333333,1.578,1.45766666666666,1.78166666666667,1.68433333333333,1.877,2.365,1.37766666666667,1.94866666666667,2.17666666666667,2.18533333333334,1.74033333333333,-0.00345681274257004,-0.0174860482766848,-0.0967086974362372,0.111917640838296,1.81333333333334,2.019,2.272,1.55333333333333
"INM-CM5-0","ssp370",2081,1.87933333333334,2.33666666666667,2.35299999999999,2.77433333333333,1.89533333333334,3.12833333333333,3.575,2.62366666666667,2.585,2.162,1.78833333333333,1.808,2.539,2.62266666666666,2.85933333333333,3.12533333333333,2.346,2.76833333333333,3.069,2.80166666666667,2.613,2.432,2.39966666666666,2.75066666666667,0.165986231376618,-0.0646320571399137,0.185535239989656,-0.0617730015445037,0.123623024911237,-0.1355493664332,-0.365403203001746,0.101553847708494,-0.0598807231396741,0.159669588014854,0.220637685319321,0.160850373599212,2.20833333333333,2.476,2.606,2.94833333333333,2.112,2.94766666666667,3.32733333333334,2.70866666666667,2.60733333333333,2.313,2.08266666666666,2.28666666666667,1.98933333333333,2.342,3.11,2.16766666666667,2.58866666666666,2.77666666666667,2.86533333333334,2.48533333333333,0.0985794044322876,0.0919291384334135,-0.110257253969614,0.113007162536809,2.29333333333334,2.564,2.992,2.32833333333334
