"Year","Tmax01","Tmax02","Tmax03","Tmax04","Tmax05","Tmax06","Tmax07","Tmax08","Tmax09","Tmax10","Tmax11","Tmax12","Tmin01","Tmin02","Tmin03","Tmin04","Tmin05","Tmin06","Tmin07","Tmin08","Tmin09","Tmin10","Tmin11","Tmin12","PPT01","PPT02","PPT03","PPT04","PPT05","PPT06","PPT07","PPT08","PPT09","PPT10","PPT11","PPT12","Tave01","Tave02","Tave03","Tave04","Tave05","Tave06","Tave07","Tave08","Tave09","Tave10","Tave11","Tave12","Tmax_wt","Tmax_sp","Tmax_sm","Tmax_at","Tmin_wt","Tmin_sp","Tmin_sm","Tmin_at","PPT_wt","PPT_sp","PPT_sm","PPT_at","Tave_wt","Tave_sp","Tave_sm","Tave_at"
"1979",25.4135579011878,26.4245032485651,28.5117594816247,30.6272530691965,30.4252088897083,28.6513291962293,28.4964214714206,27.9325299944197,26.6911183882733,27.0976050552057,25.4880751006458,24.4863838040099,15.9479353924187,16.6389228665099,17.959156519053,19.8471846599968,20.5895740742586,20.6962538115833,20.6943074129066,20.2725600884885,20.0026532854353,19.2571375009965,17.8324187609614,16.6733848104672,48.4124899359776,38.0755500850441,33.6188571633157,62.3191281161521,104.074600736886,189.39082853363,218.291834782695,250.081698657299,287.029165004817,119.860377275428,76.6874680714919,88.4544532226365,20.6807466468033,21.5317130575375,23.2354580003388,25.2372188645966,25.5073914819834,24.6737915039063,24.5953644421636,24.1025450414541,23.3468858368543,23.1773712781011,21.6602469308036,20.5798843072385,25.4414816512543,29.8547404801765,28.3600935540232,26.4255995147082,16.4200810231319,19.4653050844361,20.5543737709928,19.0307365157977,174.942493243658,200.012586016354,657.764361973624,483.577010351737,20.9307813371931,24.6600227823063,24.457233662508,22.728168015253
"1980",25.6869247747928,26.126234903141,29.6631540726642,29.3869961485571,31.4432847626355,28.7191953075176,29.0263207260443,28.3852261290259,27.1553976253588,26.6482732033243,25.1471320950255,23.9978655133929,16.3909253178811,16.4386944206394,18.5760894152583,19.2382636868224,21.6437377929688,20.7934701102121,20.517896753428,20.5339475047832,20.2749204051738,19.3700062031649,17.4903596839127,15.7409063845265,52.9181420963438,41.7333449844238,21.7852849757297,57.1485396607646,87.7592190115342,208.859376257704,174.000049120157,210.820180353499,315.203151076424,143.047534808165,87.4753274244484,51.3689767667826,21.0389250463369,21.2824646618902,24.1196217439613,24.3126299176898,26.5435112778022,24.7563327088648,24.7721087397362,24.4595868169045,23.7151590152663,23.0091397032446,21.3187458894691,19.8693859489597,25.4331811606479,30.1644783279523,28.7102473875293,26.3169343079029,16.5010015163292,19.8193636316832,20.6151047894744,19.0450954307505,183.105940303404,166.693043648028,593.67960573136,545.726013309037,20.9670913384885,24.9919209798177,24.6626760885018,22.6810148693267
"1981",23.900201042331,25.8420747718033,28.2181225835061,29.7839116310587,31.1743827975526,27.5715506417411,27.3380097058355,27.4060875717475,26.9757746482382,26.5328904755262,25.7694401955118,25.7124496771365,14.5233114437181,16.2983115682797,17.757701764788,19.433409897162,20.9053850446429,20.9403662856745,20.1017270457988,20.3146912866709,19.8940711196588,19.5084807726802,16.8766724878428,16.8320302535077,35.2916778957534,61.4368324160899,44.9762786381904,51.3597885749602,101.673640556424,367.875522116617,267.344834861745,322.551648219933,248.380970794289,184.130863466642,34.0616650449062,49.784801915993,19.2117562430246,21.0701931700415,22.987912174147,24.6086607641104,26.0398839210978,24.2559584637078,23.7198683758171,23.8603894292092,23.4349228839485,23.0206856241032,21.3230563416773,21.2722399653221,24.5800471091757,29.7254723373725,27.4385493064413,26.4260351064254,15.5208431321748,19.3654989021976,20.4522615393814,18.7597414600606,148.097487078626,198.009707769575,957.772005198295,466.573499305838,20.0504451206752,24.545485619785,23.9454054229114,22.592888283243
"1982",26.7014616051499,27.237902084662,29.0338180853396,31.1472748425542,29.4932137625558,28.6729774942204,27.979727608817,28.6606315768495,27.2124043367347,26.0178895288584,25.9905175033881,25.2492966009646,16.7972093231824,17.4546186174665,18.2157371053891,20.1751482282366,20.8718347666215,20.9791496432558,19.9681298080756,20.050282879265,20.0776030871333,18.8953562211017,17.6376877142459,16.7137174645249,32.1133723004392,48.9763889872328,40.84065377796,62.0379521409335,155.869522267639,218.484972522841,171.29505798577,139.079844490958,264.699549043589,164.420954557136,54.7127944618649,50.5375941325578,21.7493354641662,22.3462603510643,23.6247775953643,25.6612115353954,25.1825242645887,24.8260635687381,23.9739287084463,24.3554572280573,23.645003711934,22.4566228749801,21.814102608817,20.9815070327448,26.5506044556495,29.8914355634832,28.4377788932956,26.4069371229938,17.0279527313855,19.7542400334157,20.3325207768655,18.8702156741603,130.874563203665,258.748128186532,528.859874999569,483.83329806259,21.7892785935175,24.8228377984495,24.3851498350805,22.638576398577
"1983",24.5233250209264,25.4793606505102,27.6349452427456,30.3615503427934,32.0489061005262,29.5156005859375,27.8416542520329,28.3853297642299,27.4364032356107,26.7095054159359,26.5536616111288,25.7164107342156,15.7763192313058,15.8192441356426,16.6255670041454,19.0006938077966,21.4469450035874,21.370833790059,20.5549873196349,20.3780541244818,20.2811286770568,19.2659249441965,18.4318282146843,17.3111426528619,54.7775671270329,75.9408859608811,53.3769570388451,29.2478375887958,52.8747231396609,214.821317727316,263.386854554089,189.021895391087,249.252882520003,155.945435792388,79.6420254212405,67.7081997962182,20.1498221261161,20.6493023930764,22.1302561234455,24.681122075295,26.7479255520568,25.4432171879983,24.1983207858339,24.3816919443559,23.8587659563337,22.9877151800662,22.4927449129066,21.5137766935388,25.0839940908004,30.015133895355,28.5808615340668,26.8998567542252,16.1030936104911,19.0244019385098,20.7679584113919,19.3262939453125,181.256047220472,135.499517767302,667.230067672493,484.840343733632,20.5935438506457,24.5197679169324,24.6744099727294,23.1130753497688
"1984",24.2634718291614,25.8978427186304,28.7392718879544,31.8112364477041,29.1573676907287,27.1410936005262,26.8804983956473,26.9366399025431,25.9963914520887,27.2245812240912,25.6119301309391,25.5808298539142,15.5964866171078,16.6224913305166,17.6180419921875,19.3999377192283,20.233332170759,20.0488814373406,19.6944395727041,19.6978575414541,19.7358546665737,19.3413327586894,16.6699226223693,16.5484913105868,50.6280128259927,39.9315787911087,31.3875993412824,21.0791710051799,274.115401722149,274.456448149772,295.584439578447,258.16690201624,362.38978826916,89.9654758538177,61.3985562837226,44.2617201264882,19.9299792231346,21.2601670245735,23.178656940071,25.6055870834662,24.6953499307438,23.5949875189334,23.2874689841757,23.3172487219986,22.8661230593312,23.2829569913903,21.1409263766542,21.0646605822505,25.2925750940025,29.9026253421291,26.9860772995722,26.2776342690397,16.5100402001621,19.0837706273916,19.8137261838329,18.5823700158775,158.26779141332,326.582172068611,828.20778974446,513.753820406701,20.9013076470823,24.4931979847603,23.3999017417026,22.4300021424586
"1985",24.8611022949219,26.4503830267459,28.7657891721142,29.2300354003906,30.3660676917251,28.5827705227599,27.8755777164382,27.911396882972,27.4729305345185,26.6284955705915,26.4769941057478,25.0331013582191,15.2873124103157,16.4165998186384,18.2533713827328,18.9825833067602,20.3288808394452,20.6085830377073,19.9075905313297,20.0031228824538,19.6644142617985,19.2500957878269,17.842045126156,17.0185911840322,32.8547993035035,34.9803786143268,38.9396223498862,87.6264904438024,102.319433535711,246.75848335978,229.869817289505,225.478034463179,186.756517776117,167.30752228094,44.592647619631,70.5172460932494,20.0742073526188,21.4334914226921,23.5095802774235,24.1063093535754,25.3474742655852,24.5956767802336,23.891584123884,23.9572598827129,23.5686723981585,22.9392956792092,22.1595196159519,21.0258462711257,25.630771725194,29.4539640880767,28.1232483740567,26.8594734036193,16.0841345131803,19.1882785096461,20.1730988171636,18.9188517252604,112.096898044319,228.885546329399,702.106335112464,398.656687676688,20.8574531191872,24.3211212988614,24.1481735956101,22.8891625644399
"1986",24.3846029476244,27.448015236368,27.7319383270887,30.3903428681043,29.6413458376515,28.1543927873884,28.1742062938457,28.7414418746014,27.9404976981027,27.2666842713648,26.8697259396923,26.0660167460539,15.0746188416773,16.7735821159519,16.3350731674506,19.0394257214605,20.5565921705597,20.3888731664541,19.9150277273996,20.174854885802,20.1189962581713,19.3346480389031,18.9665939642459,17.3161344567124,44.8587512982993,28.8613694655006,30.6708260315905,53.2105480378959,217.417487733503,213.223211951934,163.723989266294,171.470406761735,179.274944973425,135.461879016033,87.0002998135347,43.1190063225994,19.7296108946509,22.1107986761599,22.0335057472696,24.7148842947824,25.0989690041056,24.2716329769213,24.0446170106226,24.4581483802017,24.029746978137,23.300666155134,22.9181599519691,21.6910756013832,25.6219065140705,29.2545423442815,28.3566803186118,27.3589693030533,16.2889307138871,18.6436970198236,20.1595852598852,19.4734127537734,144.237366857049,301.29886180299,548.417607979963,401.737123802993,20.9554186139788,23.9491196820525,24.2581327892485,23.4161910284133
"1987",25.5871671715561,27.4472099459901,28.4233917859136,28.7328443877551,31.0885230239557,28.5341084382972,27.5519087810906,28.1841065698741,28.4009460449219,26.5548510493065,26.6294519541215,26.6114855707908,15.2050149722975,16.6950172891422,17.8946880729831,18.2261210538903,20.425104756258,21.0090684540418,20.7200713488521,20.4635143046477,20.6666541274713,18.1416229870855,17.8682886240434,17.5413485780054,19.9434546382208,26.6738401704738,58.64653540891,46.3271750386226,50.0886330685141,281.40566231949,303.774928580019,212.398725880633,197.675045456129,81.431819930523,55.9594069033795,40.384221756963,20.3960910719268,22.0711136175662,23.1590399294484,23.4794827208227,25.7568138901068,24.7715884461695,24.1359900649713,24.3238104372609,24.5338000861966,22.348237018196,22.2488702890825,22.0764170743981,26.3667979545334,29.4149197325415,28.0900412630873,27.1950830161166,16.4053889060507,18.8486379610438,20.7308847025138,18.8921885795334,89.736301131294,155.062343516047,797.579316780142,335.066272290031,21.3860934302921,24.1317788467926,24.4104629828006,23.043635797825
"1988",24.8668258978396,26.5456322494818,28.1823422801738,30.9428876604353,31.4289794921875,28.4294120944276,28.0819073112644,27.5562188596142,26.8931238291215,26.1575820611448,27.050588677854,25.1958346619898,16.2713762555804,16.7018782635125,17.9215023118623,19.6020261180644,20.399846166494,20.7703735351563,20.4769676987006,20.619597267618,20.2127391581633,18.8871878487723,18.0975934709822,16.3602071956713,65.515047448504,38.7315465300645,37.9956851877588,37.7312781947694,70.3272694746987,305.319565348327,220.02863906685,319.045415362913,260.348285747958,153.099087264142,52.4481022761652,42.9974595536675,20.56910107671,21.6237552564972,23.051922296018,25.2724568892499,25.9144128293407,24.599892814792,24.2794375049825,24.0879080636161,23.5529314936424,22.5223849549586,22.5740910744181,20.7780209288305,26.0079812393708,30.1847364775989,28.0225127551021,26.7004315227068,16.8382010323661,19.3077915321402,20.622312833825,19.0658401593059,144.630815735531,146.054232857227,844.393619778091,465.895475288265,21.4230911358684,24.7462640048695,24.3224127944635,22.8831358410063
