"CNA","ENA","NAM","NCA","NEN","NWN","SCA","WNA"
"MRI-ESM2-0","GISS-E2-1-G","CNRM-ESM2-1","MRI-ESM2-0","CNRM-ESM2-1","CNRM-ESM2-1","GISS-E2-1-G","MRI-ESM2-0"
"GFDL-ESM4","ACCESS-ESM1-5","GFDL-ESM4","GFDL-ESM4","EC-Earth3","EC-Earth3","ACCESS-ESM1-5","MPI-ESM1-2-HR"
"MIROC6","MRI-ESM2-0","EC-Earth3","EC-Earth3","GFDL-ESM4","ACCESS-ESM1-5","MIROC6","GISS-E2-1-G"
"CNRM-ESM2-1","GFDL-ESM4","GISS-E2-1-G","MIROC6","MRI-ESM2-0","MPI-ESM1-2-HR","EC-Earth3","MIROC6"
"GISS-E2-1-G","CNRM-ESM2-1","MIROC6","CNRM-ESM2-1","ACCESS-ESM1-5","GISS-E2-1-G","GFDL-ESM4","EC-Earth3"
"EC-Earth3","EC-Earth3","ACCESS-ESM1-5","MPI-ESM1-2-HR","GISS-E2-1-G","MIROC6","MPI-ESM1-2-HR","CNRM-ESM2-1"
"MPI-ESM1-2-HR","MIROC6","MRI-ESM2-0","ACCESS-ESM1-5","MPI-ESM1-2-HR","MRI-ESM2-0","MRI-ESM2-0","GFDL-ESM4"
"ACCESS-ESM1-5","MPI-ESM1-2-HR","MPI-ESM1-2-HR","GISS-E2-1-G","MIROC6","GFDL-ESM4","CNRM-ESM2-1","ACCESS-ESM1-5"
"UKESM1-0-LL","UKESM1-0-LL","UKESM1-0-LL","UKESM1-0-LL","UKESM1-0-LL","UKESM1-0-LL","UKESM1-0-LL","UKESM1-0-LL"
"IPSL-CM6A-LR","IPSL-CM6A-LR","IPSL-CM6A-LR","IPSL-CM6A-LR","IPSL-CM6A-LR","IPSL-CM6A-LR","IPSL-CM6A-LR","IPSL-CM6A-LR"
"BCC-CSM2-MR","BCC-CSM2-MR","BCC-CSM2-MR","BCC-CSM2-MR","BCC-CSM2-MR","BCC-CSM2-MR","BCC-CSM2-MR","BCC-CSM2-MR"
"INM-CM5-0","INM-CM5-0","INM-CM5-0","INM-CM5-0","INM-CM5-0","INM-CM5-0","INM-CM5-0","INM-CM5-0"
"CanESM5","CanESM5","CanESM5","CanESM5","CanESM5","CanESM5","CanESM5","CanESM5"
